 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
DV,,,1736 Family Crisis Center,,DV Hotline,*Spanish Speaker Available,24 hr hotline,,,CA,South Bay,,310.370.5902,,,,
SS,Tracy,Ortega,5acres Boys And Girls Club Aid Society,Parent Partner,"Provide family-centered support services on campus and through outreach programs in homes, at schools and in off-site offices.",,,760 Mountain View,,CA,Altadena,91001,626.798.6793 ext.2383,,www.5acres.org,left message 9/25,
FB,,,7th Day Adventist,,Food Bank,,Wednesdays 5-7 p.m. Bag of Food Saturdays 10 am breakfast,360 West 3rd St.,,CA,Pomona,,909.622.1450,,www.adventist.org,left message 9/27,
FB,,,7th Day Adventist,,Food Bank,,Wednesdays 5-7 p.m. Bag of Food Saturdays 10 am breakfast,1921 N. Garey Ave,,CA,Pomona,,909.629.0106,,,,
PSH,David,Litthlehales,A Community of Friends,Director of Residential Services,Developers of permanent supportive housing for single individuals or families.,"Single individuals or families that are living on the street, in a transitional housing facility, or an emergency shelter and diagnosed with a mental disability.",Monday-Friday 9am-5pm,3701 Wilshire Blvd. ,STE 700,CA,Los Angeles,90010,"213.480.0809
 For placement
323.757.0670
ext. 105",,www.acof.org,confirmed,
,Debra,Boudreaux,Buddhist Tzu Chi Free Clinic,CEO,,,,,,,Alhambra,,626) 281-3383,,www.tzuchimedicalfoundation.org,left message 9/25,
CDR,,,"Adult Children of AlcoholicsAl –Anon (Family Support) Aca & Dysfunctional Families 

",,Alcoholics Anonymous; Cocaine Anonymous; Codependent Anonymous; Debtors Anonymous; Emotional Health Anonymous; Families Anonymous; Gambler’s Anonymous; Marijuana Anonymous; Narcotics Anonymous; Overeaters Anonymous; Parents Anonymous; Sex Anonymous; Suicide Anonymous; Survivor’s of Incest Anonymous.,,"626-549-5003 Beginners, Open to all, Newcomers Focus: Discussion, Success, Fellowship Day Of Week: Saturday","5446 N. Citrus Ave West Covina, CA",,CA,West Covina,91790,626-549-5003  ,,,,
SS,,,Adult Education Center PUSD,,Adult education services: High school diploma; GED; job training; referral & placement; ESL; Parent Education; community courses.,,Monday-Friday 8am-4:30pm,1515 W. Mission Blvd.,,CA,Pomona,91766,909.469.2333,,www.pusd.org/ace,confirmed,
EES,,,Adult Education Center PUSD,,Adult education services: High school diploma; GED; job training; referral & placement; ESL; Parent Education; community courses.,,Monday-Friday 8am-4:30pm,1515 W. Mission Blvd.,,CA,Pomona,91766,909.469.2333,,www.pusd.org/ace,confirmed,
SS,,,Adult System of Care,,Veterans and Loved Ones Recovery Program,Veterans and families of Veterans,Weekdays 8-5pm,550 S. Vermont Ave ,3RD FLOOR,CA,Los Angeles,90020,"(Primary)
213.639.6319 
(Secondary)
213.738.2868 ",,,,
CDR,,,"AEGIS Medical Systems, INC 
 ",,Drug diversion / Drug treatment,,,1050 N. Garey Avenue Pomona CA,,CA,Pomona,91768,(909) 623-6391,,,,
BH,,,Agape House,,"Single young  mothers and their children simply call for interview, program is a mid- to long term transitional living facility or 6-18 month program for single mothers.",Single women or women with children,,PO Box 828,,CA,Fontana,92335,909.574.5679,,,,
CDR,,,Alcoholics Anonymous,,,,"M-F meeting at: 6:45: am, 12:00 pm, 5:00 pm, 8:00pm and weekends Glendora, CALIFORNIA San Gabriel/Pomona Valley Central Office Main: (626)914-1861 Site: www.aasgvco.org","1655 N Berkely Av Pomona, CA",,,,,,,,,
BH,,,Alexandria House-Transitional Housing,,"Serves women, families, women with children up to 13 yrs old, pregnant women, homeless, 24 beds, up to 2 years","Serves women, families, women with children up to 13 yrs old, pregnant women, homeless, 24 beds, up to 2 years",Call to apply,426 South Alexandria St.,,CA,Los Angeles,90020,213.381.2649,,www.alexandriahouse.org,,
SS,,,Alexandria House-Transitional Housing,,"Serves women, families, women with children up to 13 yrs old, pregnant women, homeless, 24 beds, up to 2 years","Serves women, families, women with children up to 13 yrs old, pregnant women, homeless, 24 beds, up to 2 years",Call to apply,426 South Alexandria St.,,CA,Los Angeles,90020,213.381.2649,,www.alexandriahouse.org,,
SS,Erik,Enriquez,"Alliance for Housing & Healing,
Aid for AIDS & The Serra Project",CHOISS Program Manager,"Provide the basic necessities of life to men, women, children, and families living with HIV/AIDS through a safety net of essential housing and direct supportive services.",Individuals and Families with HIV/AIDS,8:30-5:30,825 Colorado Blvd.,STE 100,CA,Los Angeles,90041,323.344.4888,,www.alliancehh.org,left message 9/25,
BH,Erik,Enriquez,"Alliance for Housing & Healing,
Aid for AIDS & The Serra Project",CHOISS Program Manager,"Provide the basic necessities of life to men, women, children, and families living with HIV/AIDS through a safety net of essential housing and direct supportive services.",Individuals and Families with HIV/AIDS,8:30-5:30,825 Colorado Blvd.,STE 100,CA,Los Angeles,90041,323.344.4888,,www.alliancehh.org,left message 9/25,
BH,,,Alternatives to Abortion Ministries,,Maternity Homes for Single Women or Women with Children,Maternity Homes for Single Women or Women with Children,,6881 Brockton Ave,,CA,Riverside,92508,714.682.6881,,,,
HCS,,,American Recovery Center,,Chemical dependency recovery,,,2180 W. Valley Blvd.,,CA,Pomona,91768,"909.865.2336 

(fax) 
909.865.1831",,www.bhs-inc.org/cdrg.htm,,
SS,,,American Recovery Center,,Chemical dependency recovery,,,2180 W. Valley Blvd.,,CA,Pomona,91768,"909.865.2336 

(fax) 
909.865.1831",,www.bhs-inc.org/cdrg.htm,,
