StreetAddress,City,State,Zip,AUTO_UNIQUE_ID_2016-07-07_marky_r_dop_services,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
1550 North Garey Ave,Pomona,CA,91767,1,USCGeocoder,1,1,4.1,,cd33913d-aed3-4f67-8f13-4a6fe1ee34a3,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1536.0735728741,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0735855454,-117.7518304703,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,5010,5,4026,37,6,1,ResidenceStreetAddress
2010 N. Lincoln Park Ave,Los Angeles,CA,90031,2,USCGeocoder,33,1,4.1,,37b0e7b6-d1b8-4853-b027-bc6ad87ec815,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3384.8096178933,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0679496765,-118.2023349437,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1010,1,1991.2,37,6,1,ResidenceStreetAddress
2010 N. Lincoln Park Ave,Los Angeles,CA,90031,3,USCGeocoder,11,1,4.1,,ae9423b0-6a74-45c3-a640-7633495ba493,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3384.8096178933,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0679496765,-118.2023349437,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1010,1,1991.2,37,6,1,ResidenceStreetAddress
767 N. Hill St,Los Angeles,CA,90012,4,USCGeocoder,41,1,4.1,,cfbf6b83-decd-4291-ae0d-6a5067ce0ac6,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1632.381991446,ArealInterpolationGeometricCentroid,Parcel,99.1568047337,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0626689484,-118.2400335656,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1005,1,2071.02,37,6,1,ResidenceStreetAddress
1012 Citrus Ave,Covina,CA,91722,5,USCGeocoder,21,1,4.1,,c37c7fa8-32b0-4be0-9544-c200038b84a9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1434.935053044,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0991876669,-117.8901044802,Relaxed,TwoThousandTen,16742,4472,31084,90810,0,31100,3002,3,4037.21,37,6,1,ResidenceStreetAddress
1213 E. Huntington Dr,Duarte,CA,91010,6,USCGeocoder,159,1,4.1,,437aca5d-7240-4558-8e53-e81faf0346a6,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.138594,-117.963204,Exact,TwoThousandTen,19990,4472,31084,93510,0,31100,2006,2,4300.02,37,6,4,ResidenceZIP
2040 Holt Ave,Pomona,CA,91768,7,USCGeocoder,23,1,4.1,,0e0d10bc-a7c0-4af5-aff3-ceab90e757c6,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1232.4551852976,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0613740269,-117.7867602091,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1003,1,4024.02,37,6,1,ResidenceStreetAddress
2550 E. Foothill Blvd,Pasadena,CA,91107,8,USCGeocoder,109,1,4.1,,a482fea1-d55f-4b96-873d-64808b5b3eb3,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2169.9795532776,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1497433907,-118.0976836963,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,3048,3,4629,37,6,1,ResidenceStreetAddress
4171 N Tyler Ave,El Monte,CA,91731,9,USCGeocoder,101,1,4.1,,6af1eb9d-bd5c-44d6-bd04-ffdd1cc7b515,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4739.4214439585,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0823659446,-118.0317405204,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,2008,2,4324.02,37,6,1,ResidenceStreetAddress
655 N. Palomares St.,Pomona,CA,91767,10,USCGeocoder,64,1,4.1,,924fe615-93c2-4ed4-b37b-ab38fd35ae98,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2371.2411452532,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0641134022,-117.7460786198,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,4015,4,4026,37,6,1,ResidenceStreetAddress
955 N. Lake Ave.,Pasadena,CA,91104,11,USCGeocoder,130,1,4.1,,9ee79e48-7f93-457d-98b7-9892fb6a92b9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4397.1711843864,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1623685706,-118.1325892032,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,1008,1,4621,37,6,1,ResidenceStreetAddress
1 E. Regent St,Inglewood,CA,90301,12,USCGeocoder,16,1,4.1,,348707fc-cbfa-4752-a8e5-1201b045c8ec,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1393.4650804384,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.8049982666,-118.3184468025,Relaxed,TwoThousandTen,42468,4472,31084,92360,0,31100,2000,2,6700.01,37,6,1,ResidenceStreetAddress
100 E. Foothill Blvd.,San Dimas,CA,91773,13,USCGeocoder,32,1,4.1,,05edd0eb-b264-4821-ad47-5b564f33adab,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5726.8107662174,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1242175879,-117.8062333919,Relaxed,TwoThousandTen,66070,4472,31084,90810,0,31100,2004,2,4004.03,37,6,1,ResidenceStreetAddress
100 S. Vincent Ave.,West Covina,CA,91790,14,USCGeocoder,67,1,4.1,,66b9c8bf-2c6d-4fea-8e7f-95a0c1844963,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,598.9595617189,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0721948263,-117.9265115193,Exact,TwoThousandTen,84200,4472,31084,90810,0,31100,4000,4,4067.02,37,6,1,ResidenceStreetAddress
100 W. Clary Ave.,San Gabriel,CA,91776,15,USCGeocoder,51,1,4.1,,4ed12bac-086b-461a-b8dd-c51431e62ced,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,15224.5949457884,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0976567298,-118.1017496207,Relaxed,TwoThousandTen,67042,4472,31084,93200,0,31100,1011,1,4811.01,37,6,1,ResidenceStreetAddress
1000 S. Garfield Ave,Alhambra,CA,91801,16,USCGeocoder,13,1,4.1,,12e512d4-1d83-45a4-913a-723b792b4480,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1591.2378170788,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0845155361,-118.1226366429,Relaxed,TwoThousandTen,884,4472,31084,93200,0,31100,1008,1,4816.03,37,6,1,ResidenceStreetAddress
10016 Garvey Av.,El Monte,CA,91731,17,USCGeocoder,101,1,4.1,,bdc6f437-57d9-4401-b089-4aba2289f6bc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2223.5312344858,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.062616753,-118.0508843059,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,2000,2,4335.04,37,6,1,ResidenceStreetAddress
1005 E. Las Tunas Dr.,San Gabriel,CA,91776,18,USCGeocoder,83,1,4.1,,e7934bb1-1232-4953-9c08-67b648a13845,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2541.4101975276,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1035161664,-118.0860133132,Exact,TwoThousandTen,67042,4472,31084,93200,0,31100,2022,2,4801.02,37,6,1,ResidenceStreetAddress
